,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,goal_diff,made_playoffs,total_wins
2,Los Angeles Kings,15.0,17.0,26.0,24.0,231.0,266.0,-35.0,No,32.0
3,Tampa Bay Lightning,11.0,20.0,30.0,21.0,223.0,267.0,-44.0,No,31.0
10,Vancouver Canucks,18.0,21.0,23.0,20.0,213.0,215.0,-2.0,No,39.0
11,Chicago Blackhawks,17.0,23.0,24.0,18.0,239.0,235.0,4.0,No,40.0
16,St Louis Blues,13.0,20.0,28.0,21.0,205.0,237.0,-32.0,No,33.0
18,Phoenix Coyotes,21.0,17.0,20.0,24.0,214.0,231.0,-17.0,No,38.0
19,New York Islanders,17.0,18.0,24.0,23.0,194.0,243.0,-49.0,No,35.0
20,Toronto Maple Leafs,18.0,18.0,23.0,23.0,231.0,260.0,-29.0,No,36.0
21,Florida Panthers,20.0,18.0,21.0,23.0,216.0,226.0,-10.0,No,38.0
22,Buffalo Sabres,19.0,20.0,22.0,21.0,255.0,242.0,13.0,No,39.0
26,Columbus Blue Jackets,14.0,20.0,27.0,21.0,193.0,218.0,-25.0,No,34.0
28,Edmonton Oilers,18.0,23.0,23.0,18.0,235.0,251.0,-16.0,No,41.0
30,Carolina Hurricanes,19.0,24.0,22.0,17.0,252.0,249.0,3.0,No,43.0
32,Atlanta Thrashers,15.0,19.0,26.0,22.0,216.0,272.0,-56.0,No,34.0
35,Los Angeles Kings,16.0,18.0,25.0,23.0,207.0,234.0,-27.0,No,34.0
36,Tampa Bay Lightning,12.0,12.0,29.0,29.0,210.0,279.0,-69.0,No,24.0
42,Nashville Predators,16.0,24.0,25.0,17.0,213.0,233.0,-20.0,No,40.0
45,Ottawa Senators,14.0,22.0,27.0,19.0,217.0,237.0,-20.0,No,36.0
47,Minnesota Wild,17.0,23.0,24.0,18.0,219.0,200.0,19.0,No,40.0
51,Phoenix Coyotes,13.0,23.0,28.0,18.0,208.0,252.0,-44.0,No,36.0
52,New York Islanders,9.0,17.0,32.0,24.0,201.0,279.0,-78.0,No,26.0
53,Toronto Maple Leafs,18.0,16.0,23.0,25.0,250.0,293.0,-43.0,No,34.0
54,Florida Panthers,19.0,22.0,22.0,19.0,234.0,231.0,3.0,No,41.0
55,Buffalo Sabres,18.0,23.0,23.0,18.0,250.0,234.0,16.0,No,41.0
57,Colorado Avalanche,14.0,18.0,27.0,23.0,199.0,257.0,-58.0,No,32.0
58,Dallas Stars,16.0,20.0,25.0,21.0,230.0,257.0,-27.0,No,36.0
61,Edmonton Oilers,20.0,18.0,21.0,23.0,234.0,248.0,-14.0,No,38.0
65,Atlanta Thrashers,17.0,18.0,24.0,23.0,257.0,280.0,-23.0,No,35.0
69,Tampa Bay Lightning,13.0,21.0,28.0,20.0,217.0,260.0,-43.0,No,34.0
71,New York Rangers,20.0,18.0,21.0,23.0,222.0,218.0,4.0,No,38.0
80,Minnesota Wild,13.0,25.0,28.0,16.0,219.0,246.0,-27.0,No,38.0
82,St Louis Blues,22.0,18.0,19.0,23.0,225.0,223.0,2.0,No,40.0
83,Anaheim Ducks,14.0,25.0,27.0,16.0,238.0,251.0,-13.0,No,39.0
85,New York Islanders,11.0,23.0,30.0,18.0,222.0,264.0,-42.0,No,34.0
86,Toronto Maple Leafs,12.0,18.0,29.0,23.0,214.0,267.0,-53.0,No,30.0
87,Florida Panthers,16.0,16.0,25.0,25.0,208.0,244.0,-36.0,No,32.0
89,Calgary Flames,20.0,20.0,21.0,21.0,204.0,210.0,-6.0,No,40.0
91,Dallas Stars,14.0,23.0,27.0,18.0,237.0,254.0,-17.0,No,37.0
92,Columbus Blue Jackets,12.0,20.0,29.0,21.0,216.0,259.0,-43.0,No,32.0
94,Edmonton Oilers,9.0,18.0,32.0,23.0,214.0,284.0,-70.0,No,27.0
96,Carolina Hurricanes,14.0,21.0,27.0,20.0,230.0,256.0,-26.0,No,35.0
98,Atlanta Thrashers,16.0,19.0,25.0,22.0,234.0,256.0,-22.0,No,35.0
99,New Jersey Devils,16.0,22.0,25.0,19.0,174.0,209.0,-35.0,No,38.0
111,Ottawa Senators,16.0,16.0,25.0,25.0,192.0,250.0,-58.0,No,32.0
113,Minnesota Wild,20.0,19.0,21.0,22.0,206.0,233.0,-27.0,No,39.0
115,St Louis Blues,15.0,23.0,26.0,18.0,240.0,234.0,6.0,No,38.0
118,New York Islanders,13.0,17.0,28.0,24.0,229.0,264.0,-35.0,No,30.0
119,Toronto Maple Leafs,19.0,18.0,22.0,23.0,218.0,251.0,-33.0,No,37.0
120,Florida Panthers,14.0,16.0,27.0,25.0,195.0,229.0,-34.0,No,30.0
122,Calgary Flames,18.0,23.0,23.0,18.0,250.0,237.0,13.0,No,41.0
123,Colorado Avalanche,14.0,16.0,27.0,25.0,227.0,288.0,-61.0,No,30.0
124,Dallas Stars,20.0,22.0,21.0,19.0,227.0,233.0,-6.0,No,42.0
125,Columbus Blue Jackets,17.0,17.0,24.0,24.0,215.0,258.0,-43.0,No,34.0
127,Edmonton Oilers,12.0,13.0,29.0,28.0,193.0,269.0,-76.0,No,25.0
129,Carolina Hurricanes,18.0,22.0,23.0,19.0,236.0,239.0,-3.0,No,40.0
131,Atlanta Thrashers,17.0,17.0,24.0,24.0,223.0,269.0,-46.0,No,34.0
135,Tampa Bay Lightning,13.0,25.0,28.0,16.0,235.0,281.0,-46.0,No,38.0
