,team_name,away_wins,home_wins,away_losses,home_losses,total_goals_scored,total_goals_against,made_playoffs,total_wins,goal_diff
0,New Jersey Devils,21,25,20,16,206,197,Yes,46,9
1,Philadelphia Flyers,21,21,20,20,248,233,Yes,42,15
2,Boston Bruins,20,21,21,20,212,222,Yes,41,-10
3,New York Rangers,17,25,24,16,213,199,Yes,42,14
4,Pittsburgh Penguins,21,26,20,15,247,216,Yes,47,31
5,Detroit Red Wings,25,29,16,12,257,184,Yes,54,73
6,San Jose Sharks,27,22,14,19,222,193,Yes,49,29
7,Nashville Predators,18,23,23,18,230,229,Yes,41,1
8,Ottawa Senators,21,22,20,19,261,247,Yes,43,14
9,Montreal Canadiens,25,22,16,19,262,222,Yes,47,40
10,Minnesota Wild,19,25,22,16,223,218,Yes,44,5
11,Washington Capitals,20,23,21,18,242,231,Yes,43,11
12,Anaheim Ducks,19,28,22,13,205,191,Yes,47,14
13,Calgary Flames,21,21,20,20,229,227,Yes,42,2
14,Colorado Avalanche,17,27,24,14,231,219,Yes,44,12
15,Dallas Stars,22,23,19,18,242,207,Yes,45,35
16,New Jersey Devils,23,28,18,13,244,209,Yes,51,35
17,Philadelphia Flyers,20,24,21,17,264,238,Yes,44,26
18,Boston Bruins,24,29,17,12,274,196,Yes,53,78
19,New York Rangers,17,26,24,15,210,218,Yes,43,-8
20,Pittsburgh Penguins,20,25,21,16,264,239,Yes,45,25
21,Detroit Red Wings,24,27,17,14,295,244,Yes,51,51
22,San Jose Sharks,21,32,20,9,257,204,Yes,53,53
23,Vancouver Canucks,21,24,20,17,246,220,Yes,45,26
24,Chicago Blackhawks,22,24,19,17,264,216,Yes,46,48
25,Montreal Canadiens,17,24,24,17,249,247,Yes,41,2
26,Washington Capitals,21,29,20,12,272,245,Yes,50,27
27,St Louis Blues,18,23,23,18,233,233,Yes,41,0
28,Anaheim Ducks,22,20,19,21,245,238,Yes,42,7
29,Calgary Flames,19,27,22,14,254,248,Yes,46,6
30,Columbus Blue Jackets,16,25,25,16,226,230,Yes,41,-4
31,Carolina Hurricanes,19,26,22,15,239,226,Yes,45,13
32,New Jersey Devils,21,27,20,14,222,191,Yes,48,31
33,Philadelphia Flyers,17,24,24,17,236,225,Yes,41,11
34,Los Angeles Kings,24,22,17,19,241,219,Yes,46,22
35,Boston Bruins,21,18,20,23,206,200,Yes,39,6
36,Pittsburgh Penguins,22,25,19,16,257,237,Yes,47,20
37,Detroit Red Wings,19,25,22,16,229,216,Yes,44,13
38,San Jose Sharks,24,27,17,14,264,215,Yes,51,49
39,Nashville Predators,23,24,18,17,225,225,Yes,47,0
40,Vancouver Canucks,19,30,22,11,272,222,Yes,49,50
41,Chicago Blackhawks,23,29,18,12,271,209,Yes,52,62
42,Ottawa Senators,18,26,23,15,225,238,Yes,44,-13
43,Montreal Canadiens,19,20,22,21,217,223,Yes,39,-6
44,Washington Capitals,24,30,17,11,318,233,Yes,54,85
45,Phoenix Coyotes,21,29,20,12,225,202,Yes,50,23
46,Buffalo Sabres,20,25,21,16,235,207,Yes,45,28
47,Colorado Avalanche,19,24,22,17,244,233,Yes,43,11
48,Philadelphia Flyers,25,22,16,19,259,223,Yes,47,36
49,Los Angeles Kings,21,25,20,16,219,198,Yes,46,21
50,Tampa Bay Lightning,21,25,20,16,247,240,Yes,46,7
51,Boston Bruins,24,22,17,19,246,195,Yes,46,51
52,New York Rangers,24,20,17,21,233,198,Yes,44,35
53,Pittsburgh Penguins,24,25,17,16,238,199,Yes,49,39
54,Detroit Red Wings,26,21,15,20,261,241,Yes,47,20
55,San Jose Sharks,23,25,18,16,248,213,Yes,48,35
56,Nashville Predators,20,24,21,17,219,194,Yes,44,25
57,Vancouver Canucks,27,27,14,14,262,185,Yes,54,77
58,Chicago Blackhawks,20,24,21,17,258,225,Yes,44,33
59,Montreal Canadiens,20,24,21,17,216,209,Yes,44,7
60,Washington Capitals,23,25,18,16,224,197,Yes,48,27
61,Anaheim Ducks,21,26,20,15,239,235,Yes,47,4
62,Phoenix Coyotes,22,21,19,20,231,226,Yes,43,5
63,Buffalo Sabres,22,21,19,20,245,229,Yes,43,16
64,New Jersey Devils,24,24,17,17,228,209,Yes,48,19
65,Philadelphia Flyers,25,22,16,19,264,232,Yes,47,32
66,Los Angeles Kings,18,22,23,19,194,179,Yes,40,15
67,Boston Bruins,25,24,16,17,269,202,Yes,49,67
68,New York Rangers,24,27,17,14,226,187,Yes,51,39
69,Pittsburgh Penguins,22,29,19,12,282,221,Yes,51,61
70,Detroit Red Wings,17,31,24,10,248,203,Yes,48,45
71,San Jose Sharks,17,26,24,15,228,210,Yes,43,18
72,Nashville Predators,22,26,19,15,237,210,Yes,48,27
73,Vancouver Canucks,24,27,17,14,249,198,Yes,51,51
74,Chicago Blackhawks,18,27,23,14,248,238,Yes,45,10
75,Ottawa Senators,21,20,20,21,249,240,Yes,41,9
76,Washington Capitals,16,26,25,15,222,230,Yes,42,-8
77,St Louis Blues,19,30,22,11,210,165,Yes,49,45
78,Phoenix Coyotes,20,22,21,19,216,204,Yes,42,12
79,Florida Panthers,17,21,24,20,203,227,Yes,38,-24
80,Philadelphia Flyers,18,24,23,17,236,235,Yes,42,1
81,Los Angeles Kings,23,23,18,18,206,174,Yes,46,32
82,Tampa Bay Lightning,21,25,20,16,240,215,Yes,46,25
83,Boston Bruins,23,31,18,10,261,177,Yes,54,84
84,New York Rangers,25,20,16,21,218,193,Yes,45,25
