,,,Result,,,,,PDO,,Shots,,,,,Faceoffs,,,,Save Percentage,,Hits,,,Blocked Shots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Date,Opponent,Loc.,Result,GF,GA,GD,PDO,PDO-A,SF,SA,SD,SH%,SH%-A,FOW,FOL,FOD,FO%,SV%,SV%-A,HITS,HITS-A,HITS-D,BS,BS-A,BS-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023-02-26,Arizona Coyotes,Away,Win,6,2,4,110.2%,89.8%,34,27,7,17.6%,7.4%,29,27,2,51.79%,92.59%,82.35%,21,26,-5,16,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-02-23,San Jose Sharks,Home,Win,6,2,4,111.0%,89.0%,31,24,7,19.4%,8.3%,27,31,-4,46.55%,91.67%,80.65%,18,19,-1,20,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-02-21,Vancouver Canucks,Home,SO Win,5,4,1,105.1%,94.9%,26,39,-13,15.4%,10.3%,31,21,10,59.62%,89.74%,84.62%,25,28,-3,24,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023-02-19,Minnesota Wild,Away,Loss,3,4,-1,100.1%,99.9%,26,35,-9,11.5%,11.4%,26,23,3,53.06%,88.57%,88.46%,25,19,6,18,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2023-02-18,Florida Panthers,Home,Win,7,3,4,117.8%,85.1%,26,33,-7,26.9%,9.1%,34,34,0,50.00%,90.91%,76.00%,27,21,6,8,16,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-02-16,Boston Bruins,Home,Loss,0,5,-5,83.3%,116.7%,28,30,-2,0.0%,16.7%,20,33,-13,37.74%,83.33%,100.00%,36,20,16,15,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2023-02-13,Arizona Coyotes,Home,Loss,2,4,-2,89.8%,114.6%,31,19,12,6.5%,21.1%,34,15,19,69.39%,83.33%,93.55%,34,29,5,8,12,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-02-11,Philadelphia Flyers,Away,OT Win,2,1,1,103.8%,96.2%,25,24,1,8.0%,4.2%,32,20,12,61.54%,95.83%,92.00%,43,40,3,13,30,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-02-07,Vegas Golden Knights,Home,Loss,1,5,-4,92.1%,110.8%,17,30,-13,5.9%,16.7%,24,25,-1,48.98%,86.21%,94.12%,24,14,10,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023-01-26,New Jersey Devils,Home,Win,6,4,2,104.4%,97.8%,41,39,2,14.6%,10.3%,27,38,-11,41.54%,89.74%,87.50%,29,19,10,17,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2023-01-24,Winnipeg Jets,Home,Win,2,1,1,101.8%,98.2%,41,33,8,4.9%,3.0%,25,25,0,50.00%,96.97%,95.12%,29,19,10,14,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2023-01-21,Los Angeles Kings,Home,Win,5,3,2,109.0%,91.0%,28,34,-6,17.9%,8.8%,28,23,5,54.90%,91.18%,82.14%,43,27,16,16,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2023-01-19,St. Louis Blues,Away,Loss,2,5,-3,92.5%,107.5%,26,33,-7,7.7%,15.2%,12,30,-18,28.57%,84.85%,92.31%,30,20,10,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
